,A0,B0,C0
108,-2279.935355565659,-2301.748271163235,-2163.014533811955
109,-2506.0480767354065,-2538.5358589509406,-2501.841676825302
110,-2223.784654018005,-2177.503998974695,-2180.229807683368
111,-2056.333407957971,-2076.4278051202323,-2127.284181818224
112,-2043.1975306966888,-2078.62729754987,-2002.9802127197356
113,-2039.278669314362,-2054.5750250024553,-2180.51026613489
114,-2062.525431819135,-2126.9060280054937,-2019.6081025515632
115,-1907.5700861331989,-1970.1352535314356,-2011.37513794459
116,-2152.951699786437,-2032.0905398567124,-3954.931397177861
117,-2146.2673027615606,-2123.8761479241516,-2030.9116624860303
118,-1970.3449404655034,-1995.2688526504992,-2056.270408883919
119,-2068.48603688484,-2025.8449819468126,-1984.81263262437
120,-2051.1819850756788,-2146.4651239575596,-2215.0680563818614
121,-2680.644030921776,-2169.314293264703,-3815.04894494327
122,-2035.7300697208711,-2087.0451817360768,-2059.946700815744
123,-1963.2689892111196,-2059.0115906278834,-1963.0450363175116
124,-2140.8167595613877,-2081.392237443567,-2123.9734454247546
125,-8333.667179682736,-2163.978867802762,-7930.422221287888
126,-7869.906096125189,-2066.7536354025915,-2076.6394617515944
127,-1927.5538119905736,-1956.784358757789,-2911.1915857474783
128,-1991.791319740618,-2006.7781230615542,-2560.69205153654
129,-2025.2187347343333,-1987.7480872954172,-1973.4282912566207
130,-2001.2669554820668,-2126.5790441579275,-1902.0762375296827
131,-1971.2896170873278,-2017.1198435067747,-2087.4905125625432
132,-3181.951913916376,-3819.464344750809,-4081.3777935489675
133,-2817.5834099103276,-2971.0341432982955,-2146.8289273773057
134,-2408.2836939333583,-2141.2338245173314,-2088.3061268996366
135,-1970.2380380019874,-2009.17517560547,-1981.5377940793041
136,-2022.98650366301,-2288.350967610451,-1997.7248728858376
137,-1990.965016524338,-2111.9330635873625,-6880.585889323329
138,-2001.7305374656487,-1997.3143906515072,-1983.4465445220383
139,-1908.9289571331583,-1933.3284811642134,-1949.179679550939
140,-2039.4206409545263,-2052.8214612291345,-1971.850472294565
141,-1948.605014472094,-1895.9638619867499,-1946.910559022005
142,-1933.8599876140217,-1924.0495894825615,-1995.1302538011626
143,-1870.0052893218206,-1933.0805110003505,-1921.1461052205577
144,-1857.1054101252623,-1903.3577080573207,-1975.058885375675
145,-1917.978541075702,-2061.298228014655,-1967.0885713983512
146,-1936.9502586600377,-2084.903463015132,-1999.7112500368403
147,-8220.754904826177,-2034.4239243691948,-2121.232967084981
148,-1894.0587457195031,-1970.8393396334554,-2098.09474983272
149,-1976.704542130863,-2030.0419044950656,-7727.678934024759
150,-1998.8179158297955,-2062.8418810547428,-2040.3856938181323
151,-2166.0265964953755,-2051.6808537915635,-2101.008726302059
152,-2066.5130437193366,-1929.7951755049496,-2002.0411870628025
153,-1939.9021139119861,-3479.38047823524,-1991.9083755235854
154,-1923.1075524462863,-1874.3037299172115,-1929.0175862175215
155,-1905.7567685393049,-1960.9514935098507,-1894.2915560586912
156,-1933.4037087960266,-1880.7239855718285,-1956.3628411893092
157,-1893.4785454166329,-5754.168560411032,-5548.472693431893
158,-1970.5223271192367,-1931.7145905528985,-1934.7516263425246
159,-1908.5895435356035,-1911.8114359179278,-1825.1250283105055
160,-1994.0863071505134,-1884.7271551514632,-1934.8202811591711
161,-1891.6640124175965,-1877.5541788815547,-1894.6948883615719
162,-1854.484735999901,-1803.8679464499646,-1894.4794589147668
163,-1803.3475463548984,-1793.707829360888,-1792.5711157694384
164,-1847.9878990472369,-1861.2616543591105,-1793.1461911188878
165,-1825.338853834029,-1866.4357529993297,-1898.059108339329
166,-1956.9161706516397,-1900.754095321521,-1853.5086180492515
167,-1996.3463046393772,-1978.618426557336,-2043.6693951983032
168,-1982.7761945437537,-2109.9975506667097,-2143.8748553621786
169,-2001.7076291244912,-1924.8803828428033,-2190.88974592766
170,-1934.9841533801844,-1875.5223863524716,-1984.5391232676154
171,-1937.1370291775215,-1851.5869070104593,-8337.709369882537
172,-1881.5963550342958,-1849.8575942917148,-2028.2509749700075
173,-2026.6717560439918,-1975.5394914167011,-1897.829940542341
174,-1838.2905609668853,-1785.1700597977156,-1940.5255925805805
175,-1903.7000145124925,-1920.2216844873985,-1896.6130070148608
176,-1873.2585283044345,-1839.0113306448036,-1746.456840393412
177,-1793.5805922335048,-1847.1443988152034,-1802.802038111731
178,-1815.9823995775653,-1773.7665782127613,-1750.6637387387439
179,-1825.0505313273477,-1872.9886753222563,-1889.7724983249332
180,-1993.3618517964094,-2812.988388420106,-1982.219594098659
181,-1872.459457072477,-1901.146559525527,-1963.5580176308922
182,-1786.2675404120932,-5600.125120633097,-1840.8229475184523
183,-2890.400532212277,-1704.3856269422386,-1703.7775418150761
184,-1826.6097683646624,-1933.1538848781383,-4097.173676255101
185,-1835.0086438081676,-1770.3341100629932,-1786.4812860629265
186,-1965.8428224746858,-1937.0449700759646,-1899.4439320616796
187,-1848.0612719406424,-1893.0478133546258,-1869.5733047781737
188,-1843.2503569131325,-1981.1691039601392,-6280.004715550366
189,-1824.7709275286309,-1803.4702274721149,-1885.8459665318032
190,-1933.8914939266936,-1896.5182671027026,-1942.591727388447
191,-2005.015939496155,-1818.7322578411702,-1811.9146709247646
192,-1807.1568968124463,-1827.1470782531273,-1821.4446156672973
193,-1967.0143195445035,-1947.569842510069,-1982.3250588761011
194,-1950.8218307650045,-1987.6837327771364,-1949.6413088968206
195,-6840.556157708418,-1912.2074477333242,-1902.8038697187928
196,-1933.2528113163562,-1771.2307181910164,-1785.1099617792966
197,-1863.4954062605873,-1951.9973950533456,-1994.1141499630019
198,-2028.3558336800415,-1988.526776070284,-1956.0591552942844
199,-1823.3265717281306,-1818.5800043985464,-6789.033365511359
200,-1887.7481219609365,-1883.062893339429,-1826.4594405574942
201,-1985.243932804158,-1943.603365982516,-1856.0613270669446
202,-1945.2163785685268,-2016.663744005734,-2047.3855304764054
203,-1935.361776520219,-1926.7428164017615,-1972.9344395811536
204,-2107.5421170178392,-1886.0019363253086,-5653.648516893415
205,-1838.6335863732043,-1879.214838848379,-1926.5218726440905
206,-8329.118656629791,-1899.9696250647075,-1881.2567830644466
207,-1876.857404813671,-1857.003623562737,-1794.9983052658854
208,-1915.6585340467823,-1785.3191801237547,-1797.8570884301855
209,-1776.6419336328072,-1792.2197519676588,-1815.204370529272
210,-1991.1714061119417,-1980.0307080807602,-1887.6774620459146
211,-1882.1569873048793,-1913.2871580642638,-8590.143536028394
212,-1938.6584163397204,-1982.4648367409527,-1980.8909966728302
213,-2000.6243950322785,-2003.7321582375623,-1933.521999176202
214,-1965.8914930225894,-2083.513031366,-1937.8844533046968
215,-1982.500444593244,-1921.7623442729687,-1924.4471769266493
216,-1906.8483778407751,-1944.2863473186476,-1893.7557059368796
217,-1914.2007756264193,-1850.9866862948782,-4035.724525610327
218,-1960.6941103912914,-1920.1633147480786,-1998.7210069171085
219,-1943.3751025896538,-1872.550374458414,-1983.4317573513163
220,-1833.726922246953,-1875.0703332682128,-1759.6375896509137
221,-7558.726099691808,-1863.121845982115,-1765.1321304947983
222,-1861.707955149747,-1795.9969845756511,-1846.0827988815429
223,-1868.7385097088008,-1972.4774619922557,-1951.704580370796
224,-2032.7891745981285,-1934.4244980150688,-2043.3113624373057
225,-1953.2443197845366,-1879.6773545170265,-2032.847292312912
226,-1815.384846545381,-1935.1817684752536,-1904.6135024852974
227,-1950.643501432947,-1900.7422387219428,-1940.9786833666924
228,-1826.2118894386442,-1810.2904088125722,-1854.2818682150132
229,-1751.9795983504534,-1799.3976485352578,-1726.8765324638007
230,-1846.039786617902,-1871.4229132588791,-1837.2881211666643
231,-1870.4517610654311,-1851.8413051665789,-1865.7193307091545
232,-1829.1553616552897,-1858.4910858183669,-1821.3074325508665
233,-1869.6991827148631,-1946.0492147419984,-1918.3015091863613
234,-8529.599769791055,-1955.0145554634412,-1931.7909021601117
235,-1883.1432606914307,-1934.8980433086213,-1971.6331390178566
236,-2007.5290984122726,-7034.19158685453,-1964.0014051081698
237,-2108.9389906003557,-2085.9270868041212,-2083.3955906839888
238,-2016.877228240664,-1981.5220270542561,-1968.3306448312253
239,-2171.147232439325,-2058.8805234527754,-2232.017593752569
240,-2169.479104053839,-2191.5141186764663,-2211.2021534947266
241,-1944.905500917237,-2400.025068628863,-2084.191735411644
242,-2075.746251498944,-2041.0246933236342,-2049.1012391036156
243,-2059.4878261199387,-1968.0529931078622,-1952.1620822177786
244,-1926.490509568562,-1971.2730240974395,-1905.8012809783133
245,-2030.760416462348,-1949.595722237101,-1975.127404522783
246,-1963.4037855112342,-1954.4106440181981,-6652.351237343862
247,-1852.4083013013203,-1925.258334297263,-1937.990755040899
248,-1786.0313611641159,-1796.1497470295421,-1758.276471054838
249,-1755.6343820198117,-1859.6059932819753,-1789.889565171645
250,-1864.0103061054408,-1787.9262813851465,-1782.9914575528069
251,-1818.6960403332953,-5027.93888751184,-1907.5949177574912
252,-1826.8435759242466,-1806.4161125496876,-1846.1664350880365
253,-1755.2219422608964,-1751.972946140604,-1824.581060412756
254,-1895.7460743447932,-1899.0185538504259,-1905.7781401314862
255,-1868.646954435211,-1827.2003429385497,-1955.2303718110284
256,-1959.0427124609446,-2066.093045420008,-1969.3090286508927
257,-1940.5423331452312,-2051.218804088561,-1899.2000591603949
258,-1815.0590240832378,-1803.815877973868,-1832.5678874819887
259,-1894.9579178683944,-1909.1721001839983,-1871.7187801299124
260,-2084.7053840575663,-1969.0075320284777,-1926.7724982336224
261,-1832.669959062191,-1923.3756404387111,-1919.7674857175243
262,-1798.6403042611576,-1739.4907872858967,-1784.4364191431555
263,-1914.5961663154121,-4306.070159330246,-1785.6386508625503
264,-1881.197557918106,-1780.7852540128679,-6837.167290859287
265,-1845.8659052270943,-1779.4038385023437,-1822.5452470033408
266,-1834.2561155203239,-1816.7784831294903,-1938.2881478578565
267,-1932.1473773843784,-2035.1256842147818,-1976.705267916738
268,-2026.0919728766178,-2051.912582361628,-2203.6153087406815
269,-1758.6857727400254,-1894.8691264624622,-1846.012606501996
270,-1676.9637125771262,-2433.884046972699,-1765.1885150186158
271,-1741.3240695488746,-1773.172813416055,-1796.6227342245213
272,-1712.2429964763935,-1726.1327833062392,-1765.961066618723
273,-1767.1651977932381,-1957.9013468990477,-1882.7064521858363
274,-1827.4888116138557,-1870.229854320968,-1919.7161101865822
275,-1863.2953871582974,-1818.1280425187301,-1865.5241560092484
276,-1868.349484281214,-1939.7939398800297,-1865.3724193331211
277,-8012.49080009169,-2081.9645376299854,-1993.7194336005005
278,-1954.4349005126971,-1974.9855580610374,-1954.390965979738
279,-1894.6996636662843,-1897.7717417473655,-1870.748915807554
280,-1829.1281680885857,-1839.4578235189801,-1860.959257791618
281,-1986.0537683065763,-1941.7835144660435,-1862.6452077640397
282,-1824.4496809037778,-1839.6329123107478,-2020.0727544106908
283,-1819.1158370045587,-1879.6098581435522,-1911.0698757143098
284,-2278.630197580578,-1870.8175705791743,-1876.7162653855946
285,-1864.781196615339,-1873.1460328826302,-1872.0828716345627
286,-1863.2401124952476,-1957.8925083165593,-1937.1915543497603
287,-6027.7824561439475,-1942.0482045989397,-1887.3490028665838
288,-1890.8746157856328,-1824.2836787477445,-1839.681338202277
289,-1880.604752292227,-1824.927599102475,-1776.7206721097928
290,-1852.8534379457014,-1856.255690437169,-1842.4359546434853
291,-1902.8967853262586,-1944.3374795153254,-1859.5814019483805
292,-1909.5391360821664,-1908.409595572198,-1935.146431042932
293,-1929.6796326155716,-6391.000402243885,-1916.5098290053206
294,-2143.3804316580554,-2016.5288827125032,-1998.9802403335173
295,-1970.9955447166644,-1917.3828227074046,-1836.068300073942
296,-1950.1014671274443,-1936.6841112466814,-1946.6268431737703
297,-2000.5047624143021,-1877.953971760585,-1933.0949558590316
298,-2032.4468855324726,-1921.316871669677,-1816.1973485949263
299,-1903.267005376532,-1913.112863372042,-1940.6221723358024
300,-1871.4929107049375,-1789.7146121169071,-1892.7343314152997
301,-1865.5212181737957,-1885.4435285342022,-1845.4991331163476
302,-1928.4592896533024,-1910.1454182649052,-1839.807959633129
303,-1979.9979953251755,-3569.584829023503,-2016.4771508439846
304,-1963.2409360128745,-1989.4954885198624,-1894.9467201230161
305,-1952.2836737327846,-1834.697943215964,-1823.7523051981193
306,-1793.7865395665542,-1845.195066556321,-1803.3051402232256
307,-1871.6705729188006,-1880.3624310517364,-1926.1333044656656
308,-1868.9613455178414,-1806.3313303082357,-1951.7295768142435
309,-1877.5363177942827,-6112.693160782357,-1831.983656750428
310,-1896.9104046833218,-1929.4631936946923,-1822.9272636480382
311,-1884.3226553185436,-1907.1419078564497,-2030.170546428463
312,-1878.6636460423101,-1833.1859059287385,-4507.762274490519
313,-1865.8957315204514,-1969.1347812005304,-1806.9566264328405
314,-1904.0657977883855,-1942.8110577604796,-2012.459609748282
315,-7883.439797872676,-2045.4275564722382,-1919.330700549069
316,-4958.644714073789,-2040.3121720662416,-4808.146301989076
317,-2054.4171857803617,-2022.9937441874742,-2055.428532070195
318,-2059.7595406198975,-2073.89664539575,-2040.5870552601637
319,-1986.9389865579972,-2055.829913843889,-2020.889141167949
320,-1912.9509587348348,-1853.1049722082394,-1878.6286840825533
321,-1952.227332600173,-1810.8807633757322,-1809.3005529889726
322,-1935.1245089149181,-1897.0591920725092,-1966.0837322900757
323,-1827.0220902545614,-1803.2924074159055,-1852.846135447024
324,-1958.9602729966668,-8458.63173608262,-1987.6977793737904
325,-1941.0708424651739,-1997.5023044281445,-2015.3947739617347
326,-4400.883821396699,-8663.843436761927,-1913.7449235908189
327,-1850.0941313321368,-1927.543212743624,-1812.9337169537946
328,-1764.1654675513425,-1991.0960494361832,-1794.6233055770049
329,-1959.320297694912,-2162.884467750051,-2036.8669593610443
330,-1998.6072600581722,-1836.9085972788719,-1921.1620624910595
331,-1812.0532011881985,-1829.019032574646,-1814.4478402358855
332,-1799.3603469890697,-1847.8922343960035,-1793.004297088628
333,-1794.3315526695965,-1756.5401780263487,-1779.4421621696683
334,-1698.8844995841428,-1719.1202725086775,-1814.238450041843
335,-1731.2429937616484,-1792.0762706711173,-1756.7644346193322
336,-1750.41583909675,-1802.0648954813676,-1730.9652469791847
337,-1895.2835037894713,-1898.025472421169,-1839.8149270085876
338,-1862.1980186529584,-1851.7307245036677,-1817.5848591155745
339,-1750.1905141622256,-1704.6166976055972,-1754.929625170352
340,-1736.8472630729846,-1747.591091457981,-1711.4328418530479
341,-1703.2144331021896,-1775.2452889962858,-1697.5663533044797
342,-1778.7002016651195,-1681.9367129794562,-1796.8520515870948
343,-1671.6353831330248,-1709.4719325760886,-1689.6688640719508
344,-1668.478142947523,-1685.2479978950726,-1677.0741252398927
345,-1664.869634066363,-1629.5642295259854,-1727.627133233654
346,-1643.5299337721383,-1672.5306498074565,-1688.238046596729
347,-1794.1861288947746,-1861.7182908100353,-1732.129660418401
348,-1695.8144310936561,-1734.1166553626788,-1758.6847671816656
349,-1702.337024506305,-1732.8867252475686,-1765.2747714133327
350,-1757.6797850488595,-1762.7424008377413,-1747.3095350193514
351,-7416.031723380303,-1731.746483791529,-1706.011171192548
352,-1812.2254732723086,-7737.772601381198,-1832.8110254011515
353,-1851.4108591788236,-1790.586273550888,-1802.7596699419068
354,-1758.5340206322778,-1754.3008685447478,-1777.344346923946
355,-1874.5122354283774,-1779.56945586269,-1736.6849896708447
356,-1775.0376876657472,-1731.6207409196463,-1716.1963662188873
357,-1746.3173307492136,-1738.8836704710582,-1702.2193055260345
358,-1741.9914409217624,-1796.742238334059,-1736.9076580947037
359,-1713.50946298113,-4318.613136316764,-1735.0783303930743
360,-1695.4961339658373,-1716.1176278778562,-1658.9955070042336
361,-1708.2706267361675,-1744.590118471982,-1790.4609808757907
362,-1789.134558195936,-1757.9882539106352,-1751.7519327166438
363,-1685.1485358590405,-1768.006821106583,-1821.2359714691065
364,-1821.253737158457,-1859.8436540604973,-1772.9402897096422
365,-1767.2562337766558,-1756.6547824500324,-1770.3110338629576
366,-1869.021899001697,-1878.6717437276363,-1837.0894566268491
367,-1844.0733533623918,-1926.9265909457222,-1877.5131657747052
368,-1877.7256945005704,-1745.3519978395566,-1881.9171443122057
369,-1876.655506724556,-1870.227402181737,-1897.0301479188727
370,-1725.6708451999127,-1854.951119839861,-1937.420726186665
371,-1662.9077194933886,-1709.823401756655,-1782.7554155915302
372,-4182.584467802449,-1721.4624258300125,-1628.60355875472
373,-1693.4498851887138,-1688.5365235818263,-1727.589112956261
374,-1768.509442685168,-1714.1964186492735,-1704.0732457372392
375,-1828.8438082049615,-1817.2964391891353,-1846.8688760957052
376,-1661.0287203626704,-1729.738907379252,-1659.7569034792239
377,-1657.1545056036716,-1646.280824452833,-1687.289739803033
378,-1775.8958096197384,-1796.6008797799966,-1712.7742270809172
379,-1784.0558594874194,-1790.3106531319993,-1757.8022561937275
380,-1887.2794290731072,-1867.9511046995106,-1906.9111877949383
381,-1750.7346852038133,-1773.7713069985814,-1785.2354115301396
382,-1792.0261416444391,-1852.9326075383876,-1782.8565600540135
383,-1838.835483876407,-1868.9644504287292,-1798.2976034953567
384,-2065.1268667008053,-1891.5990840850247,-2004.467899183359
385,-1821.1733021016114,-1750.0867120566634,-1701.864750689629
386,-1939.816040509093,-1905.638936920544,-1925.6311120746589
387,-1871.8541031559603,-1930.0494666324742,-1809.9400945562777
388,-2018.3688667272208,-7123.418625088543,-6684.704376488443
389,-2048.2490617600843,-2067.4612816812587,-1913.5993559427761
390,-1935.240683942229,-1829.5055351561423,-1795.251155957312
391,-1752.8172992617187,-1737.0075016791266,-1813.2519480537596
392,-1852.1236329927438,-1679.1500523240145,-1766.1867621535566
393,-1766.310592029563,-1822.3145169505804,-1741.022389501218
394,-1942.8275840406675,-1957.6035317390963,-7041.931556915671
395,-1704.1298961935454,-1727.198732923678,-1732.2674882765275
396,-1734.2708553552056,-1745.8131055682793,-1738.352572821033
397,-1748.4130764599274,-1715.1248650913947,-1769.6077774483851
398,-1946.984728758635,-1788.570880240154,-1987.5022013770333
399,-8137.339919449312,-1787.50265101216,-1848.9354031713917
400,-1776.293442847316,-1826.1448360059176,-1827.6540675968433
401,-1725.734860317785,-1751.5842491705919,-1764.2492658096223
402,-1756.8417090209189,-1777.7610802808108,-1754.4608956462948
403,-1722.5554518319118,-1728.0678591753872,-1756.9798918919503
404,-1866.8524691831976,-1893.1136998321922,-1872.2522733896221
405,-1801.0895592860302,-7695.364729008633,-6674.325665293757
406,-1837.3583484708838,-1860.957330876015,-1798.1343897342533
407,-1962.1398459309207,-1916.9984760940722,-2007.4753448067895
408,-1830.621053528741,-1788.7170255189353,-1795.0102508352204
409,-1885.752558508469,-1931.6620706073284,-1927.9433973030837
410,-4491.020794975084,-1797.4247235474004,-1947.120583409405
411,-1858.4490021372176,-1859.4739743556959,-1831.468867513149
412,-1860.7576016771993,-1736.3118644080314,-1686.6898277515656
413,-1747.9912450469055,-1765.4081507688518,-1859.8939610219795
414,-1800.469287130163,-1839.738349741173,-1780.6391039971
415,-1822.0126664316579,-1875.631716864626,-1862.5690287302164
416,-1836.0920590118455,-1802.1134187790433,-1736.3658634740998
417,-1825.0737926121408,-1781.4891732884678,-1807.2128146678003
418,-7007.482494186437,-1903.5963110228026,-1825.1382708640194
419,-1766.7586227911618,-1781.2413935989782,-8050.022013586556
420,-1778.5056167235007,-4687.429440922809,-4734.025720352508
421,-1866.7047060998032,-1802.0075449943934,-1734.2569433548126
422,-1781.4493681468348,-1820.3979533833176,-1816.3312338734358
423,-1833.961401760382,-1795.9200345917516,-1782.1688325176376
424,-1717.5966014750024,-1709.3124453760365,-1691.269712554448
425,-1960.0258920460246,-1843.898065061268,-1798.8763154655371
426,-1888.5724431281487,-1973.1488208742435,-1864.089169711878
427,-1700.4226709482086,-1716.9409176424908,-1734.1179577914102
428,-1727.2437669081692,-1662.2718492272988,-1748.3147937370916
429,-1757.6874294044255,-1630.7481350394314,-1704.7157036265928
430,-1709.1341177485463,-1634.0809007196578,-1694.5706576798405
431,-1668.778202181834,-1705.9842780222727,-1615.582672645194
432,-1810.5897364071525,-1774.826171292677,-1735.8174620756688
433,-1757.1061649716198,-1725.2413784659739,-1763.9808481713314
434,-1746.8875961899253,-1711.5276156739692,-1797.3945092668284
435,-1756.4293164608905,-1666.792527474951,-1681.8242380031995
436,-1741.7623836700334,-1695.5647720605125,-1716.907937987408
437,-1640.011941065202,-1755.999914050383,-1654.9664113517708
438,-1709.8245874267673,-1704.145031045978,-1725.7031852500254
439,-1850.184767499659,-1758.2471096094482,-1766.1401141711617
440,-1782.2830870500627,-1727.0904922770505,-1786.8066962230637
441,-1674.148480593491,-1634.1359055975593,-1692.715825883692
442,-1697.27498106739,-1593.897497713271,-1645.992553228487
443,-1773.4728442174098,-1753.0658546072043,-1691.9588781944828
444,-1789.3256694964314,-1779.7518676045374,-1698.5929813808675
445,-1723.7654132567886,-1803.218883953874,-1711.9867677885065
446,-1746.3652133749742,-1734.6333156006322,-1701.235442468208
447,-7949.179517064583,-1712.427904098969,-1648.3237211100702
448,-1654.8081307461507,-1695.242384459256,-1624.429826758818
449,-6648.810235436505,-1662.3125107664082,-5907.431098433545
